site_id,haul_id,species,tot_length,disp,key_a,key_aa,key_aab,f_index
138ismp_2024_001,138ismp_2024_001.1,BH,76,RA,5af40b5k01d8tkc,5k01dgekg,5k01djefu,57
138ismp_2024_001,138ismp_2024_001.2,CPM,34,RA,5af40b5k70qzdnm,5k70rbt6p,5k70rflk3,1
138ismp_2024_001,138ismp_2024_001.2,CPM,28,RA,5af40b5k70qzdnm,5k70rbt6p,5k70rhscl,2
138ismp_2024_001,138ismp_2024_001.2,CPM,28,RA,5af40b5k70qzdnm,5k70rbt6p,5k70rjh62,3
138ismp_2024_001,138ismp_2024_001.2,CPM,30,RA,5af40b5k70qzdnm,5k70rbt6p,5k70rk1bf,4
138ismp_2024_001,138ismp_2024_001.1,CPM,30,RA,5af40b5k70wnkkj,5k70wrtj6,5k70x027i,5
138ismp_2024_001,138ismp_2024_001.1,CPM,26,RA,5af40b5k70wnkkj,5k70wrtj6,5k70x08lp,6
138ismp_2024_001,138ismp_2024_001.1,CPM,45,RA,5af40b5k70yqb87,5k70yvv11,5k70z3g2z,7
138ismp_2024_001,138ismp_2024_001.1,CPM,47,RA,5af40b5k70yqb87,5k70yvv11,5k70z3o7o,8
138ismp_2024_001,138ismp_2024_001.1,CPM,30,RA,5af40b5k70yqb87,5k70yvv11,5k70z4riv,9
138ismp_2024_001,138ismp_2024_001.1,CPM,30,RA,5af40b5k70yqb87,5k70yvv11,5k70z5797,10
138ismp_2024_001,138ismp_2024_001.1,CPM,51,RA,5af40b5k70yqb87,5k70yvv11,5k70z65pz,11
138ismp_2024_001,138ismp_2024_001.1,CPM,25,RA,5af40b5k70yqb87,5k70yvv11,5k70z7pit,12
138ismp_2024_001,138ismp_2024_001.1,CPM,32,RA,5af40b5k70yqb87,5k70yvv11,5k70z8niv,13
138ismp_2024_001,138ismp_2024_001.1,CPM,25,RA,5af40b5k70yqb87,5k70yvv11,5k70z9mi1,14
138ismp_2024_001,138ismp_2024_001.1,CPM,31,RA,5af40b5k70yqb87,5k70yvv11,5k70zaohr,15
138ismp_2024_001,138ismp_2024_001.2,CPM,46,RA,5af40b5k70yqb87,5k70yz06a,5k70zsjh6,16
138ismp_2024_001,138ismp_2024_001.1,CPM,36,RA,5af40b5k712odqm,5k71300bw,5k7139r3a,17
138ismp_2024_001,138ismp_2024_001.2,CPM,36,RA,5af40b5k714qbgb,5k71563cl,5k715axbe,18
138ismp_2024_001,138ismp_2024_001.2,CPM,37,RA,5af40b5k716tioo,5k7179g96,5k717h4bo,19
138ismp_2024_001,138ismp_2024_001.2,CPM,40,RA,5af40b5k716tioo,5k7179g96,5k717hvm5,20
138ismp_2024_001,138ismp_2024_001.1,CPM,37,RA,5af40b5k7189cp1,5k718ddh1,5k718md5n,21
138ismp_2024_001,138ismp_2024_001.1,CPM,43,RA,5af40b5k7189cp1,5k718ddh1,5k718o0fd,22
138ismp_2024_001,138ismp_2024_001.1,CPM,36,RA,5af40b5k7189cp1,5k718ddh1,5k718o3ca,23
138ismp_2024_001,138ismp_2024_001.1,CPM,41,RA,5af40b5k7189cp1,5k718ddh1,5k718ryby,24
138ismp_2024_001,138ismp_2024_001.2,CPM,39,RA,5af40b5k7189cp1,5k718smew,5k718w66j,25
138ismp_2024_001,138ismp_2024_001.2,CPM,39,RA,5af40b5k7189cp1,5k718smew,5k718xc0x,26
138ismp_2024_001,138ismp_2024_001.2,CPM,59,RA,5af40b5k7189cp1,5k718smew,5k719084d,27
138ismp_2024_001,138ismp_2024_001.2,CPM,48,RA,5af40b5k71a019d,5k71aa5ll,5k71aem0k,28
138ismp_2024_001,138ismp_2024_001.2,CPM,42,RA,5af40b5k71a019d,5k71aa5ll,5k71af5c8,29
138ismp_2024_001,138ismp_2024_001.2,CPM,34,RA,5af40b5k71a019d,5k71aa5ll,5k71aiwnd,30
138ismp_2024_001,138ismp_2024_001.2,CPM,34,RA,5af40b5k71baf12,5k71bmf0f,5k71bpgb1,31
138ismp_2024_001,138ismp_2024_001.2,CPM,35,RA,5af40b5k71baf12,5k71bmf0f,5k71bs9ii,32
138ismp_2024_001,138ismp_2024_001.1,CPM,35,RA,5af40b5k80misbw,5k80nq986,5k80nshiv,33
138ismp_2024_001,138ismp_2024_001.1,CPM,36,RA,5af40b5k80misbw,5k80nq986,5k80nsnbf,34
138ismp_2024_001,138ismp_2024_001.1,CPM,37,RA,5af40b5k80misbw,5k80nq986,5k80nuyqw,35
138ismp_2024_001,138ismp_2024_001.1,CPM,30,RA,5af40b5k80misbw,5k80nq986,5k80nvp27,36
