site_id,haul_id,reach_code,startdatetime,gear,haul_num,haul_length,haul_width,method,mud_depth,haul_notes,key_a,key_aa,h_index,dmax_depth,d2_depth,d1_depth,dmax_sub_1,d2_sub_1,d1_sub_1,dmax_sub_2,d2_sub_2,d1_sub_2,hab_max_depth,s_index
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,25,4,A,3,,5af40b5k70oxalc,5k70p8zjf,1,180,100,100,SI,SI,SI,SI,SI,SI,180,28
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,12,4,P,2,,5af40b5k70oxalc,5k70pgnl5,2,120,100,80,SI,SI,SI,SI,SI,SI,180,28
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,8,4,P,3,,5af40b5k70qzdnm,5k70r5k6z,3,580,390,450,SI,SI,SI,SA,SA,SA,1000,29
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,11,4,P,2,,5af40b5k70qzdnm,5k70rbt6p,4,270,270,130,SI,SI,SI,SA,SA,SA,1000,29
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,12,4,P,3,,5af40b5k70vdidw,5k70vo0n2,5,240,200,240,SI,SI,SI,SA,SA,SA,1000,30
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,15,4,P,3,,5af40b5k70vdidw,5k70vtuey,6,600,400,600,SI,SI,SI,SA,SA,SA,1000,30
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,14,4,P,3,,5af40b5k70wnkkj,5k70wrtj6,7,600,200,400,SI,SI,SI,SA,SA,SA,1000,31
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,8,4,P,3,,5af40b5k70wnkkj,5k70wxleo,8,650,300,600,SI,SI,SI,SA,SA,SA,1000,31
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,20,4,P,3,,5af40b5k70yqb87,5k70yvv11,9,250,200,200,SI,SI,SI,SI,SI,SI,475,32
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,17,4,P,3,,5af40b5k70yqb87,5k70yz06a,10,350,255,200,SI,SI,SI,SI,SI,SI,475,32
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,12,4,A,3,,5af40b5k712odqm,5k71300bw,11,500,500,250,SI,SI,SI,SI,SI,SI,500,33
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,17,4,P,3,,5af40b5k712odqm,5k713hi00,12,350,300,200,SI,SI,SI,SI,SI,SI,500,33
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,15,4,P,3,,5af40b5k714qbgb,5k714ws5v,13,475,270,400,SI,SI,SI,SI,SI,SI,710,34
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,12,4,P,3,,5af40b5k714qbgb,5k71563cl,14,680,340,450,SI,SI,SI,SI,SI,SI,710,34
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,8,4,A,3,,5af40b5k716tioo,5k717499q,15,190,140,130,SI,SI,SI,SI,SI,SI,415,35
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,24,4,P,3,,5af40b5k716tioo,5k7179g96,16,180,140,165,SI,SI,SI,SI,SI,SI,415,35
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,14,4,A,2,,5af40b5k7189cp1,5k718ddh1,17,200,90,180,SI,SI,SI,SA,SA,SA,200,36
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,19,4,P,2,,5af40b5k7189cp1,5k718smew,18,180,110,180,SI,SI,SI,SA,SA,SA,200,36
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,15,4,P,3,,5af40b5k71a019d,5k71a6vnu,19,180,105,180,SI,SI,SI,SI,SI,SI,300,37
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,17,4,P,3,,5af40b5k71a019d,5k71aa5ll,20,300,120,300,SI,SI,SI,SI,SI,SI,300,37
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-24T06:00:00Z,SF,1,12,3,P,3,,5af40b5k71baf12,5k71bg2cv,21,450,215,450,SI,SI,SI,SA,SA,SA,1000,38
138ismp_2024_001,138ismp_2024_001.2,LCO,2024-09-24T06:00:00Z,SF,2,10,3,P,2,,5af40b5k71baf12,5k71bmf0f,22,125,100,100,SI,SI,SI,SA,SA,SA,1000,38
138ismp_2024_001,138ismp_2024_001.1,LCO,2024-09-25T06:00:00Z,SF,1,12,4,A,2,,5af40b5k80misbw,5k80nq986,23,120,100,120,SI,SI,SI,SI,SI,SI,180,39
